row ID,row m/z,row retention time,Aludoviciana_pipe-APW.raw filtered Peak height,AmericanSpirit_pipe-APW.raw filtered Peak height,Auvaursi_pipe-APW.raw filtered Peak height,Blank_pipe-APW.raw filtered Peak height,Ceramic_Pipe_1-APW.raw filtered Peak height,Csericea_pipe-APW.raw filtered Peak height,Gshallon_pipe-APW.raw filtered Peak height,Linflata_pipe-APW.raw filtered Peak height,Nattenuata_pipe-APW.raw filtered Peak height,Nglauca_pipe-APW.raw filtered Peak height,Nobtusifolia_pipe-APW.raw filtered Peak height,Nquadrivalvis_pipe-APW.raw filtered Peak height,Nrustica_pipe-APW.raw filtered Peak height,Ntabacum_pipe-APW.raw filtered Peak height,Rglabra_pipe-APW.raw filtered Peak height,Ssonomensis_pipe-APW.raw filtered Peak height,Tbrevifolia_pipe-APW.raw filtered Peak height,Vthapsus_pipe-APW.raw filtered Peak height
116,398.2158445,10.16509412,9015,10932,15836,3222,21315,18233,13115,2581,10305,11563,11770,12050,0,13126,11307,8595,10638,8990
117,165.1307098,3.254498,8921,0,4908,0,0,0,5410,5414,0,2630,3665,3000,0,0,7853,7945,2704,0
118,392.299675,11.1752,8914,0,0,0,0,0,0,0,0,0,2939,0,0,0,0,2343,0,2935
119,376.2515767,10.15667083,8896,2460,5566,109374,3605,0,2945,2729,4144,2185,3324,4926,0,5029,0,0,9410,2752
120,211.1101379,5.179189,8883,0,3040,0,0,0,3759,0,2941,2585,4004,0,2104,0,4869,7108,0,11164
121,154.9593084,0.639437206,8867,4818,7658,6739,5132,5474,7247,6586,4038,4988,5333,4641,4772,6413,5806,7223,4251,6497
122,241.1556091,6.89722,8841,0,0,0,0,0,0,3706,2337,0,2947,0,0,0,0,0,2089,0
123,459.3344849,11.61524,8790,0,0,0,0,0,0,0,0,0,2259,7802,7958,2007,0,0,0,0
124,151.1158752,3.68691,8769,0,0,0,0,0,3916,5272,2874,2771,4139,0,2485,0,2709,5994,2538,0
125,290.1981812,7.017153333,8682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5729,0,2353
126,402.3292542,11.60017778,8661,0,0,0,0,0,0,2099,7613,0,0,2902,5603,0,0,0,0,0
127,211.1342316,4.507306667,8655,0,3107,0,0,0,0,0,0,2021,0,3314,4539,0,0,3200,0,0
128,424.3139648,10.801,8532,0,0,0,0,0,0,0,9978,2988,3320,3819,2603,0,0,5406,0,0
129,232.1312408,8.16668,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,206.8746643,0.705624917,8447,7938,0,0,0,0,2060,6062,6122,5524,3696,8097,2590,3591,6673,0,3560,0
131,430.282074,11.0307,8439,0,0,0,0,0,6237,0,0,11884,17096,0,0,0,2699,0,11457,13454
132,277.1985363,11.92740909,8397,7556,0,0,0,0,0,0,0,2715,3490,3469,4117,4043,0,8028,0,3566
133,239.1252035,6.639888333,8257,0,0,0,0,0,0,3910,2512,0,2111,0,0,0,6351,0,0,4842
134,156.0710754,4.100388182,8218,0,4262,0,0,2901,8141,4411,0,2561,3880,0,0,0,9059,12595,3817,15077
135,209.153656,8.576779,8185,0,5366,0,0,3050,7272,4770,0,0,3364,0,0,0,16854,7699,2456,9376
136,151.1158752,3.5625275,7985,0,0,0,0,0,3394,4811,2166,0,2922,0,0,0,0,5094,2078,13374
137,352.2989136,11.42336,7965,0,0,0,0,2858,0,2770,0,0,0,0,0,0,0,0,0,9213
138,233.1543325,3.943903333,7964,0,0,0,0,0,6086,0,0,0,0,0,10450,0,0,0,0,0
139,198.1168976,4.890436,7860,0,2571,0,0,0,4137,5097,0,0,0,0,0,0,3951,0,0,0
140,169.0681261,6.045711429,7738,0,0,0,0,0,2261,2457,0,2001,3767,0,0,0,0,4914,0,5035
141,170.0872498,4.054482,7703,0,4295,0,0,2343,6839,3741,0,0,2514,0,0,0,7201,9056,2769,11821
